entity,region,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total,log_total,min_5h_activity,min_5h_activity_sin,min_5h_activity_cos,min_5h_activity_%
Entity 1015,East_Asia_Pac,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.18867924528301888,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.16981132075471697,0.018867924528301886,0.03773584905660377,0.03773584905660377,0.05660377358490566,0.018867924528301886,0.09433962264150944,0.018867924528301886,0.03773584905660377,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,29,3.367295829986474,21,-0.7071067811865477,0.7071067811865474,0.09433962264150943
Entity 1016,East_Asia_Pac,0.015625,0.015625,0.015625,0.03125,0.015625,0.046875,0.015625,0.046875,0.046875,0.03125,0.09375,0.046875,0.015625,0.046875,0.03125,0.03125,0.046875,0.046875,0.078125,0.15625,0.0625,0.03125,0.015625,0.015625,40,3.6888794541139363,0,0.0,1.0,0.078125
Entity 1017,East_Asia_Pac,0.058823529411764705,0.0784313725490196,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.11764705882352941,0.0196078431372549,0.11764705882352941,0.0784313725490196,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.09803921568627451,27,3.295836866004329,15,-0.7071067811865471,-0.7071067811865479,0.09803921568627451
Entity 1018,Euro_Africa,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,4,1.3862943611198906,2,0.49999999999999994,0.8660254037844387,0.17857142857142855
Entity 10180,East_Asia_Pac,0.008130081300813009,0.04878048780487805,0.016260162601626018,0.016260162601626018,0.04878048780487805,0.024390243902439025,0.032520325203252036,0.024390243902439025,0.08943089430894309,0.04878048780487805,0.06504065040650407,0.04878048780487805,0.04878048780487805,0.06504065040650407,0.056910569105691054,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.032520325203252036,0.08130081300813008,0.056910569105691054,0.024390243902439025,0.04878048780487805,0.016260162601626018,99,4.59511985013459,1,0.25881904510252074,0.9659258262890683,0.10569105691056911
Entity 1019,Euro_Africa,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.07317073170731707,0.0975609756097561,0.04878048780487805,0.12195121951219512,0.07317073170731707,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.07317073170731707,17,2.833213344056216,2,0.49999999999999994,0.8660254037844387,0.12195121951219512
Entity 102,Euro_Africa,0.04477611940298507,0.03980099502487562,0.01990049751243781,0.024875621890547265,0.004975124378109453,0.01990049751243781,0.009950248756218905,0.01990049751243781,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.024875621890547265,0.03980099502487562,0.06965174129353234,0.06467661691542288,0.06467661691542288,0.06467661691542288,0.07960199004975124,0.04975124378109453,0.10945273631840796,0.04975124378109453,0.07960199004975124,0.04975124378109453,0.05472636815920398,177,5.176149732573829,8,0.8660254037844387,-0.4999999999999998,0.04477611940298507
Entity 1020,Euro_Africa,0.05263157894736842,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.017543859649122806,0.017543859649122806,0.07017543859649122,0.07017543859649122,0.03508771929824561,0.03508771929824561,0.24561403508771928,0.03508771929824561,0.07017543859649122,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.05263157894736842,33,3.4965075614664802,3,0.7071067811865476,0.7071067811865476,0.08771929824561403
Entity 1021,East_Asia_Pac,0.04,0.08,0.02,0.02,0.02,0.02,0.04,0.12,0.16,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.12,0.06,0.02,0.04,26,3.258096538021482,15,-0.7071067811865471,-0.7071067811865479,0.1
Entity 1022,America,0.023809523809523808,0.07142857142857142,0.047619047619047616,0.047619047619047616,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.07142857142857142,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.023809523809523808,0.07142857142857142,0.047619047619047616,0.07142857142857142,18,2.8903717578961645,12,1.2246467991473532e-16,-1.0,0.14285714285714285
